CRF,Original variable,SDTM Domain,SDTM variable,Data Type,mapping instruction
4,67,5,63,0,5
4,67,5,66,0,87
4,67,5,65,0,88
4,67,5,61,0,267
4,93,5,63,0,6
4,93,5,66,0,89
4,93,5,65,0,90
4,93,5,61,0,267
4,95,5,63,0,7
4,95,5,66,0,91
4,95,5,65,0,92
4,95,5,61,0,267
4,82,5,63,0,8
4,82,5,66,0,93
4,82,5,65,0,94
4,82,5,61,0,267
4,69,5,63,0,9
4,69,5,66,0,95
4,69,5,65,0,96
4,69,5,61,0,267
4,72,5,63,0,10
4,72,5,66,0,97
4,72,5,65,0,98
4,72,5,61,0,267
4,78,5,63,0,11
4,78,5,66,0,99
4,78,5,65,0,100
4,78,5,61,0,267
4,97,5,63,0,12
4,97,5,66,0,101
4,97,5,65,0,102
4,97,5,61,0,267
4,98,5,63,0,14
4,98,5,66,0,103
4,98,5,65,0,104
4,98,5,61,0,267
4,80,5,63,0,15
4,80,5,66,0,105
4,80,5,65,0,106
4,80,5,61,0,267
4,75,5,63,0,16
4,75,5,66,0,107
4,75,5,65,0,108
4,75,5,61,0,267
4,89,5,63,0,17
4,89,5,66,0,109
4,89,5,65,0,110
4,89,5,61,0,267
4,85,5,63,0,18
4,85,5,66,0,111
4,85,5,65,0,112
4,85,5,61,0,267
4,84,5,63,0,19
4,84,5,66,0,113
4,84,5,65,0,114
4,84,5,61,0,267
4,73,5,63,0,20
4,73,5,66,0,115
4,73,5,65,0,116
4,73,5,61,0,267
4,96,5,63,0,21
4,96,5,66,0,117
4,96,5,65,0,118
4,96,5,61,0,267
4,71,5,63,0,22
4,71,5,66,0,119
4,71,5,65,0,62
4,71,5,61,0,267
4,91,5,63,0,23
4,91,5,66,0,120
4,91,5,65,0,63
4,91,5,61,0,267
4,77,5,65,0,396
4,81,5,63,0,24
4,81,5,66,0,121
4,81,5,65,0,64
4,81,5,61,0,267
4,94,5,65,0,396
3,109,5,65,0,396
3,156,5,65,0,396
3,154,5,59,0,315
3,155,5,66,0,399
7,249,5,65,0,0
3,106,5,65,0,396
3,108,5,65,0,396
3,172,5,65,0,396
3,107,5,65,0,396
2,249,3,96,0,269
2,249,3,51,0,293
2,249,3,98,0,265
2,249,3,97,0,364
2,66,3,50,0,57
2,119,8,94,0,135
2,119,8,93,0,139
2,119,8,91,0,358
2,119,8,92,0,261
2,248,3,95,0,359
2,32,3,31,1,364
2,32,3,32,0,290
2,110,3,56,0,360
2,232,3,88,0,317
2,237,11,85,0,250
2,237,11,84,0,210
2,237,11,87,0,266
2,235,11,85,0,248
2,235,11,84,0,210
2,235,11,87,0,48
2,234,11,85,0,247
2,234,11,84,0,210
2,234,11,87,0,45
2,233,11,85,0,246
2,233,11,84,0,210
2,233,11,87,0,44
2,236,11,85,0,249
2,236,11,84,0,210
2,236,11,87,0,215
2,238,11,85,0,251
2,238,11,84,0,218
2,238,11,87,0,245
2,100,8,94,0,122
2,100,8,93,0,207
2,100,8,91,0,362
2,100,8,92,0,261
2,101,8,91,0,364
2,173,8,94,0,123
2,173,8,93,0,126
2,173,8,91,0,361
2,173,8,92,0,261
2,174,8,91,0,364
9,249,3,96,0,269
9,249,3,51,0,293
9,249,3,98,0,265
9,243,5,65,0,395
9,240,5,65,0,395
9,241,3,34,0,300
9,241,3,33,0,301
9,249,4,55,0,252
9,249,4,53,0,252
9,249,4,52,0,221
9,239,4,54,0,58
9,242,4,65,0,267
7,249,6,96,0,269
7,249,6,51,0,295
7,249,6,98,0,265
7,161,6,68,0,187
7,163,6,73,0,348
7,162,6,72,0,364
7,249,5,71,0,209
7,115,6,70,0,267
7,115,6,67,0,140
7,117,6,75,0,364
7,118,6,74,0,187
7,116,6,69,0,193
7,124,6,70,0,267
7,124,6,67,0,143
7,126,6,75,0,364
7,127,6,74,0,187
7,125,6,69,0,195
7,37,6,70,0,267
7,37,6,67,0,55
7,39,6,75,0,364
7,40,6,74,0,187
7,38,6,69,0,190
7,244,6,70,0,267
7,244,6,67,0,260
7,246,6,75,0,364
7,247,6,74,0,187
7,245,6,69,0,204
7,111,6,70,0,267
7,111,6,67,0,138
7,113,6,75,0,364
7,114,6,74,0,187
7,112,6,69,0,192
7,120,6,70,0,267
7,120,6,67,0,142
7,122,6,75,0,364
7,123,6,74,0,187
7,121,6,69,0,194
7,164,6,70,0,267
7,164,6,67,0,212
7,166,6,75,0,364
7,167,6,74,0,187
7,165,6,69,0,198
7,168,6,70,0,267
7,168,6,67,0,217
7,170,6,75,0,364
7,171,6,74,0,187
7,169,6,69,0,199
7,102,6,70,0,267
7,102,6,67,0,127
7,104,6,75,0,364
7,105,6,74,0,187
7,103,6,69,0,191
7,228,6,70,0,267
7,228,6,67,0,222
7,230,6,75,0,364
7,231,6,74,0,187
7,229,6,69,0,203
