CRF,Original variable,SDTM Domain,Data Type,mapping instruction
7,124,6,0,267
7,184,6,0,398
4,95,5,0,91
7,35,6,0,364
11,286,12,0,297
7,127,6,0,187
5,134,5,0,213
6,64,14,2,396
7,171,6,0,187
10,262,12,0,283
3,109,14,2,396
7,245,6,0,204
4,78,5,0,11
1,6,10,0,230
7,114,6,0,187
5,133,5,0,164
2,248,3,0,359
8,225,7,0,264
0,29,13,0,53
11,263,12,0,289
4,79,5,0,268
11,263,12,0,393
4,69,5,0,95
0,286,0,0,376
6,63,14,2,396
4,73,5,0,267
4,74,5,0,3
7,33,6,0,47
8,203,7,0,388
5,146,5,0,213
1,7,10,0,241
7,120,6,0,267
5,144,5,0,167
4,80,5,0,106
8,286,7,0,302
10,259,12,0,394
8,207,7,0,314
10,260,12,0,402
11,284,12,0,402
7,245,6,0,204
8,218,7,0,186
0,286,9,0,244
8,224,7,0,256
5,153,5,0,156
10,249,12,0,270
5,133,5,0,33
0,22,0,0,313
7,40,6,0,187
0,286,2,0,265
8,220,7,0,328
7,246,6,0,364
10,251,12,0,357
7,176,6,0,200
4,72,5,0,10
7,158,6,0,197
4,86,5,0,68
0,24,0,0,351
11,268,12,1,364
7,120,6,0,142
2,237,11,0,250
4,70,5,0,70
0,286,9,0,265
8,200,7,0,375
2,233,11,0,210
7,160,6,0,187
8,286,7,0,302
11,275,12,0,289
10,254,12,0,278
5,136,5,0,213
11,275,12,1,364
8,286,7,0,269
7,124,6,0,267
8,220,7,0,217
11,267,12,0,285
8,220,7,0,216
5,140,5,0,213
10,262,12,0,274
5,134,5,0,153
10,286,12,0,269
10,262,12,0,393
11,286,12,0,265
1,5,10,0,370
4,86,5,0,267
10,253,12,0,364
1,3,10,0,237
7,37,6,0,267
7,127,6,0,187
1,8,10,0,232
0,286,13,0,253
5,134,5,0,27
9,242,4,2,402
8,211,7,0,50
5,149,5,0,4
11,271,12,1,364
11,286,12,0,299
0,286,0,1,376
11,264,12,1,364
0,286,9,0,253
7,102,6,0,127
4,76,5,0,82
4,75,5,0,16
10,249,12,0,271
7,183,6,0,187
10,257,12,0,282
10,252,12,0,393
4,90,5,0,267
4,98,5,0,104
7,118,6,0,187
5,135,5,0,213
11,272,12,0,393
8,193,7,0,375
7,130,6,0,364
7,187,6,0,364
5,135,5,0,26
5,142,5,0,213
10,252,12,0,285
8,190,7,0,375
10,256,12,0,289
3,172,14,2,396
7,130,6,0,364
4,96,5,0,118
5,139,5,0,213
1,9,10,0,374
11,275,12,0,393
10,252,12,0,276
5,142,5,0,25
8,216,7,0,341
5,147,5,0,176
10,252,12,0,275
4,69,5,0,9
4,97,5,0,102
9,286,4,0,252
1,9,10,0,231
5,139,5,0,36
5,143,5,0,213
7,122,6,0,364
4,92,5,0,267
7,116,6,0,193
8,193,7,0,380
5,286,5,0,294
9,239,4,0,58
11,272,12,0,277
11,280,12,0,393
8,224,7,0,332
4,79,5,0,2
8,204,7,0,375
10,249,12,0,289
8,212,7,0,51
10,256,12,0,393
11,271,12,0,393
11,278,14,2,59
2,101,8,0,364
8,200,7,0,387
7,37,6,0,55
4,93,5,0,6
11,279,12,0,393
7,164,6,0,267
7,162,6,0,364
1,6,10,0,240
4,88,5,0,71
8,206,7,0,334
10,255,12,0,220
2,233,11,0,246
4,88,5,0,72
8,194,7,0,381
4,84,5,0,114
11,282,12,0,394
7,286,14,0,209
8,217,7,0,340
2,119,8,0,261
4,74,5,0,267
10,256,12,1,364
10,249,12,0,289
4,69,5,0,267
2,236,11,0,249
2,100,8,0,362
4,86,5,0,67
8,216,7,0,136
11,277,14,2,59
7,33,6,0,47
3,108,14,2,396
7,126,6,0,364
11,285,12,0,356
8,198,7,0,385
8,210,7,0,46
8,199,7,0,386
10,254,12,0,393
11,275,12,0,289
11,280,12,0,281
11,271,12,0,288
7,160,6,0,187
7,186,6,0,202
1,286,2,0,184
4,68,5,0,267
5,140,5,0,30
7,120,6,0,142
0,286,9,0,302
7,104,6,0,364
5,145,5,0,213
11,268,12,0,275
11,263,12,0,271
11,275,12,0,279
8,211,7,0,49
1,0,10,0,224
7,175,6,0,267
4,68,5,0,75
7,189,6,0,398
11,281,12,0,394
7,229,6,0,203
7,157,6,0,267
8,195,7,0,382
5,150,5,0,213
9,286,3,0,269
9,241,3,0,300
11,275,12,0,280
4,99,5,0,57
0,286,0,1,263
11,270,12,0,364
8,197,7,0,375
10,252,12,0,393
7,231,6,0,187
11,265,12,0,357
1,1,10,0,223
7,185,6,0,267
7,286,6,0,265
7,116,6,0,193
0,286,2,0,253
0,28,0,0,57
5,143,5,0,177
5,286,5,0,397
0,24,0,0,352
8,215,7,0,340
4,70,5,0,267
7,188,6,0,187
2,236,11,0,215
4,78,5,0,99
7,126,6,0,364
11,264,12,0,270
2,174,8,0,364
10,262,12,0,283
7,115,6,0,267
5,132,5,0,214
1,53,14,2,396
7,33,6,0,267
11,280,12,0,393
5,286,5,0,269
8,214,7,0,133
7,113,6,0,364
1,42,1,0,60
0,286,0,1,376
5,153,5,0,155
0,14,9,0,188
7,286,6,0,295
2,238,11,0,251
5,146,5,0,38
5,148,14,2,396
0,31,2,0,57
4,81,5,0,121
11,263,12,0,289
8,286,7,0,296
4,98,5,0,14
11,267,12,0,286
4,76,5,0,41
8,227,7,0,356
7,128,6,0,267
7,103,6,0,191
8,208,7,0,314
4,93,5,0,90
5,143,5,0,178
5,140,5,0,158
7,159,6,0,364
8,209,7,0,364
9,286,4,0,221
11,271,12,0,277
7,175,6,0,267
1,3,10,0,368
7,177,6,0,364
2,173,8,0,361
0,286,0,0,291
8,216,7,0,142
7,36,6,0,187
1,49,1,0,57
5,150,5,0,180
0,19,0,0,350
7,37,6,0,267
7,244,6,0,260
7,105,6,0,187
2,237,11,0,266
1,286,10,0,265
4,81,5,0,267
7,179,6,0,398
12,286,14,0,0
8,190,7,0,377
4,68,5,0,76
0,286,0,0,376
4,84,5,0,19
10,257,12,0,281
2,173,8,0,123
4,95,5,0,92
5,152,5,0,213
8,207,7,0,314
11,280,12,0,282
7,183,6,0,187
8,194,7,0,375
7,124,6,0,143
4,92,5,0,29
7,178,6,0,187
7,34,6,0,189
11,286,12,0,298
5,146,5,0,172
8,225,7,0,333
11,267,12,0,393
7,34,6,0,189
11,285,12,0,356
7,39,6,0,364
0,31,13,0,56
7,36,6,0,187
7,35,6,0,364
8,217,7,0,325
4,76,5,0,81
0,26,0,0,305
4,85,5,0,112
7,231,6,0,187
5,140,5,0,157
4,82,5,0,93
5,136,5,0,39
2,100,8,0,261
8,203,7,0,375
7,117,6,0,364
7,286,6,0,269
3,154,5,0,315
8,192,7,0,379
4,89,5,0,109
11,272,12,0,278
5,286,5,0,265
11,272,12,0,287
1,1,10,0,366
2,234,11,0,45
1,43,2,0,54
7,230,6,0,364
4,71,5,0,267
5,138,5,0,213
7,157,6,0,267
1,9,10,0,243
10,252,12,0,286
0,286,0,1,376
11,267,12,1,364
1,44,1,0,60
1,4,10,0,238
4,93,5,0,267
7,112,6,0,192
1,2,10,0,367
